Date,Price,Open,High,Low,Vol.,Change %,,,rank,commentCount,likeCount,,,,,type1,value1,,gender,
May-00,10522.33,10749.42,10971.24,10258.81,180.90M,-1.97%,253,,1,137,7026,BLACKPINK,1,美甲,,結婚,9,,F,800
Jun-00,10447.89,10532.27,10863,10335.46,183.98M,-0.71%,252,,2,182,6506,BTS,1,美妝,,閒聊,86,,M,395
Jul-00,10521.98,10450.36,10874.63,10393.09,171.24M,0.71%,251,,3,190,5049,COVID-19,73,美食,,傳說對決,1,,F,
Aug-00,11215.1,10523.81,11319.06,10516.76,165.39M,6.59%,250,,4,574,3494,NBA,1,美髮,,感情,133,,M,
Sep-00,10650.92,11219.54,11401.19,10567.32,243.81M,-5.03%,249,,5,84,3472,Red Velvet,1,英雄聯盟,,新生季,2,,F,
Oct-00,10971.14,10659.06,10995.41,9654.64,297.12M,3.01%,248,,6,115,2191,VTuber,1,時事,,楓之谷,1,,F,
Nov-00,10414.49,10966.21,11006.5,10292.39,240.12M,-5.07%,247,,7,88,1776,YouTuber,50,追星,,遊戲,2,,F,
Dec-00,10787.99,10416.76,10917.68,10299.21,270.67M,3.59%,246,,8,96,1598,女孩,55,健身,,電影,1,,M,
1-Jan,10887.36,10790.92,11028,10468.04,290.79M,0.92%,245,,9,33,1578,工作,10,偽娘,,精品,3,,M,
1-Feb,10495.28,10884.82,11035.14,10294.01,232.54M,-3.60%,244,,10,33,1465,心情,133,彩虹,,網路購物,3,,F,
1-Mar,9878.78,10493.25,10859.5,9106.54,287.98M,-5.87%,243,,11,292,1417,手作,3,烹飪,,親子,6,,F,
1-Apr,10734.97,9877.16,10906.41,9375.72,272.38M,8.67%,242,,12,328,1352,手搖,3,理財,,戲劇綜藝,26,,M,
1-May,10911.94,10734.05,11350.05,10673.22,214.03M,1.65%,241,,13,120,1305,台中,1,速食,,韓星,1,,F,
1-Jun,10502.4,10913.57,11196.53,10394.72,249.67M,-3.75%,240,,14,13,1246,有趣,122,插畫,,寵物,27,,M,
1-Jul,10522.81,10504.95,10679.12,10120.89,230.02M,0.19%,239,,15,96,1157,考試,2,減肥,,護理,4,,F,
1-Aug,9949.75,10527.38,10609.65,9869.14,185.20M,-5.45%,238,,16,173,1091,汽機車,1,,,,,,M,
1-Sep,8847.56,9946.98,10182.38,8062.34,393.05M,-11.08%,237,,17,55,1008,男生穿搭,1,,,,,,F,
1-Oct,9075.14,8845.97,9598.17,8732.14,259.44M,2.57%,236,,18,88,994,居家生活,21,,,,,,F,
1-Nov,9851.56,9087.45,9992.79,9014.46,235.38M,8.56%,235,,19,56,965,武漢肺炎,3,,,,,,F,
1-Dec,10021.57,9848.93,10184.45,9703.9,222.48M,1.73%,234,,20,88,926,星座,1,,,,,,F,
2-Jan,9920,10021.71,10300.15,9529.46,248.94M,-1.01%,233,,21,54,918,研究所,1,,,,,,M,
2-Feb,10106.13,9923.04,10255.24,9580.32,259.03M,1.88%,232,,22,39,850,穿搭,36,,,,,,F,
2-Mar,10403.94,10111.04,10673.1,10111.04,238.46M,2.95%,231,,23,1737,848,,,,,,,,F,
2-Apr,9946.22,10402.07,10402.07,9811.57,244.69M,-4.40%,230,,24,53,846,,,,,,,,F,
2-May,9925.25,9944.9,10353.43,9802.23,228.30M,-0.21%,229,,25,73,845,,,,,,,,F,
2-Jun,9243.26,9923.94,9986.49,8926.57,305.77M,-6.87%,228,,26,49,838,,,,,,,,M,
2-Jul,8736.59,9239.25,9410.38,7532.66,365.58M,-5.48%,227,,27,20,763,,,,,,,,M,
2-Aug,8663.5,8732.58,9077.01,8030.82,262.20M,-0.84%,226,,28,107,718,,,,,,,,F,
2-Sep,7591.93,8659.27,8726.9,7460.78,298.76M,-12.37%,225,,29,56,712,,,,,,,,F,
