時間,買賣契約價格平均單價(不分建物類別)
089Q1,---
089Q2,---
089Q3,---
089Q4,---
090Q1,---
090Q2,---
090Q3,---
090Q4,---
091Q1,---
091Q2,---
091Q3,---
091Q4,---
092Q1,---
092Q2,---
092Q3,---
092Q4,---
093Q1,---
093Q2,---
093Q3,---
093Q4,---
094Q1,---
094Q2,---
094Q3,---
094Q4,---
095Q1,---
095Q2,---
095Q3,---
095Q4,---
096Q1,---
096Q2,---
096Q3,14.65
096Q4,13.26
097Q1,13.03
097Q2,13.24
097Q3,12.44
097Q4,11.95
098Q1,12.61
098Q2,13.44
098Q3,12.91
098Q4,13.16
099Q1,13.27
099Q2,12.73
099Q3,13.55
099Q4,14.34
100Q1,13.38
100Q2,13.62
100Q3,13.3
100Q4,13.54
101Q1,13.72
101Q2,14.81
101Q3,14.24
101Q4,13.27
102Q1,15.22
102Q2,15.99
102Q3,16.16
102Q4,16.91
103Q1,17.71
103Q2,18.37
103Q3,17.91
103Q4,18.46
104Q1,18.32
104Q2,18.02
104Q3,18.48
104Q4,19.22
105Q1,18.76
105Q2,19.35
105Q3,18.61
105Q4,18.89
106Q1,19.15
106Q2,19.27
106Q3,19.07
106Q4,19.23
107Q1,19.32
107Q2,19.26
107Q3,19.68
107Q4,20.05
108Q1,20.07
108Q2,20.4
108Q3,20.82
108Q4,20.49
109Q1,21.16
109Q2,21.22
109Q3,22.2
109Q4,---
110Q1,---
