時間,買賣契約價格平均單價(不分建物類別)
089Q1,---
089Q2,---
089Q3,---
089Q4,---
090Q1,---
090Q2,---
090Q3,---
090Q4,---
091Q1,---
091Q2,---
091Q3,---
091Q4,---
092Q1,---
092Q2,---
092Q3,---
092Q4,---
093Q1,---
093Q2,---
093Q3,---
093Q4,---
094Q1,---
094Q2,---
094Q3,---
094Q4,---
095Q1,---
095Q2,---
095Q3,---
095Q4,---
096Q1,---
096Q2,---
096Q3,37.3
096Q4,35.61
097Q1,37.95
097Q2,40.66
097Q3,41.24
097Q4,35.04
098Q1,39.25
098Q2,43.79
098Q3,45.29
098Q4,50.14
099Q1,53.13
099Q2,50.72
099Q3,52.9
099Q4,52.5
100Q1,54.27
100Q2,52
100Q3,49.82
100Q4,52.01
101Q1,51.35
101Q2,53.84
101Q3,52.14
101Q4,51.75
102Q1,54.32
102Q2,56.59
102Q3,57.91
102Q4,59.06
103Q1,66.77
103Q2,67.07
103Q3,65.23
103Q4,64.36
104Q1,63.42
104Q2,62.02
104Q3,60.3
104Q4,56.23
105Q1,57.59
105Q2,57.27
105Q3,56.6
105Q4,56.85
106Q1,56.31
106Q2,54.71
106Q3,56.6
106Q4,57.54
107Q1,57.48
107Q2,58.64
107Q3,57.64
107Q4,57.81
108Q1,56.81
108Q2,58.71
108Q3,58.19
108Q4,58.74
109Q1,57.55
109Q2,59.15
109Q3,60.9
109Q4,---
110Q1,---
