時間,買賣契約價格平均單價(不分建物類別)
089Q1,---
089Q2,---
089Q3,---
089Q4,---
090Q1,---
090Q2,---
090Q3,---
090Q4,---
091Q1,---
091Q2,---
091Q3,---
091Q4,---
092Q1,---
092Q2,---
092Q3,---
092Q4,---
093Q1,---
093Q2,---
093Q3,---
093Q4,---
094Q1,---
094Q2,---
094Q3,---
094Q4,---
095Q1,---
095Q2,---
095Q3,---
095Q4,---
096Q1,---
096Q2,---
096Q3,16.42
096Q4,16.57
097Q1,17.86
097Q2,17.63
097Q3,17.37
097Q4,15.76
098Q1,17.01
098Q2,18.95
098Q3,18.98
098Q4,20.56
099Q1,21.21
099Q2,20.43
099Q3,20.48
099Q4,21.85
100Q1,20.75
100Q2,20.38
100Q3,19.41
100Q4,19.47
101Q1,19.69
101Q2,21.34
101Q3,20.17
101Q4,20.4
102Q1,20.41
102Q2,21.74
102Q3,21.92
102Q4,22.86
103Q1,23.39
103Q2,23.85
103Q3,23.47
103Q4,24.23
104Q1,23.02
104Q2,23.06
104Q3,22.88
104Q4,23.39
105Q1,22.34
105Q2,23.36
105Q3,23.17
105Q4,22.6
106Q1,22.64
106Q2,22.89
106Q3,23.12
106Q4,23.24
107Q1,23.51
107Q2,23.94
107Q3,24.05
107Q4,24.03
108Q1,23.96
108Q2,25.01
108Q3,25.2
108Q4,28.79
109Q1,25.08
109Q2,26.13
109Q3,27.03
109Q4,---
110Q1,---
